C	CHEMISTRY; METALLURGY
C06F0001160000	Manufacture of matches connected together, e.g. in bands or blocks
C06F0001180000	Printing on matches or match-boxes when combined with match manufacture
C06F0001200000	Applying strike-surfaces, e.g. on match-boxes, on match-books
C06F0001220000	Manufacturing of match-books, match packs or match packages
C06F0001240000	Safety devices against fire
C06F0001260000	Production lines for complete match manufacture
C06F0003000000	Chemical features in the manufacture of matches
C06F0003020000	Wooden strip for matches or substitute therefor
C06F0003040000	Chemical treatment before or after dipping, e.g. dyeing, impregnating
C06F0003080000	Strike-surface compositions
C06F0005000000	Matches (match-books A24F0027120000)
C06F0005020000	Permanent matches
C06F0005040000	Wax matches
C07	ORGANIC CHEMISTRY
C07B	GENERAL METHODS OF ORGANIC CHEMISTRY; APPARATUS THEREFOR (preparation of carboxylic acid esters by telomerisation C07C0067470000;processes for preparing macromolecular compounds, e.g. telomerisation C08F, C08G)
C07B0031000000	Reduction in general
C07B0033000000	Oxidation in general
C07B0035000000	Reactions without formation or introduction of functional groups containing hetero atoms
C07B0035000000	Reactions without formation or introduction of functional groups containing hetero atoms, involving a change in the type of bonding between two carbon atoms already directly linked
C07B0035020000	Reduction
C07B0035040000	Dehydrogenation
C07B0035060000	Decomposition, e.g. elimination of halogens, water or hydrogen halides
C07B0035080000	Isomerisation
C07B0037000000	Reactions without formation or introduction of functional groups containing hetero atoms, involving either the formation of a carbon-to-carbon bond between two carbon atoms not directly linked already or the disconnection of two directly linked carbon atoms
C07B0037020000	Addition
C07B0037040000	Substitution
C07B0037060000	Decomposition, e.g. elimination of carbon dioxide
C07B0037080000	Isomerisation
C07B0037100000	Cyclisation
C07B0037120000	Diels-Alder reactions
C07B0039000000	Reactions with formation or introduction of functional groups containing hetero atoms
C07B0039000000	Halogenation
C07B0041000000	Formation or introduction of functional groups containing oxygen
C07B0041020000	of hydroxy or O-metal groups
C07B0041040000	of ether, acetal or ketal groups
C07B0041060000	of carbonyl groups
C07B0041080000	of carboxyl groups or salts, halides or anhydrides thereof
C07B0041100000	Salts, halides or anhydrides of carboxyl groups
C07B0041120000	of carboxylic acid ester groups
C07B0041140000	of peroxy or hydroperoxy groups
C07B0043000000	Formation or introduction of functional groups containing nitrogen
C07B0043020000	of nitro or nitroso groups
C07B0043040000	of amino groups
C07B0043060000	of amide groups
C07B0043080000	of cyano groups
C07B0043100000	of isocyanate groups
C07B0045000000	Formation or introduction of functional groups containing sulfur
C07B0045020000	of sulfo or sulfonyldioxy groups
C07B0045040000	of sulfonyl or sulfinyl groups
C07B0045060000	of mercapto or sulfide groups
C07B0047000000	Formation or introduction of functional groups not provided for in groups C07B0039000000-C07B0045000000
C07B0049000000	Grignard reactions
C07B0051000000	Introduction of protecting groups or activating groups, not provided for in groups C07B0031000000-C07B0049000000
C07B0053000000	Asymmetric syntheses
C07B0055000000	Racemisation; Complete or partial inversion
C07B0057000000	Separation of optically-active organic compounds
C07B0059000000	Introduction of isotopes of elements into organic compounds
C07B0060000000	Generation of organic free radicals
C07B0061000000	Other general methods
C07B0063000000	Purification; Separation; Stabilisation
C07B0063000000	Purification; Separation specially adapted for the purpose of recovering organic compounds (separation of optically-active organic compounds C07B0057000000); Stabilisation; Use of additives
C07B0063020000	by treatment giving rise to a chemical modification
C07B0063040000	Use of additives
C07C	ACYCLIC OR CARBOCYCLIC COMPOUNDS (macromolecular compounds C08;production of organic compounds by electrolysis or electrophoresis C25B0003000000, C25B0007000000)
C07C0001000000	Hydrocarbons
C07C0001000000	Preparation of hydrocarbons from one or more compounds, none of them being a hydrocarbon
C07C0001020000	from oxides of carbon (preparation of liquid hydrocarbon mixtures of undefined composition C10G0002000000;of synthetic natural gas C10L0003060000)
C07C0001040000	from carbon monoxide with hydrogen
C07C0001060000	in the presence of organic compounds, e.g. hydrocarbons
C07C0001080000	Isosyntheses
C07C0001100000	from carbon monoxide with water vapour
C07C0001120000	from carbon dioxide with hydrogen
C07C0001200000	starting from organic compounds containing only oxygen atoms as hetero atoms
C07C0001207000	from carbonyl compounds
C07C0001213000	by splitting of esters
C07C0001220000	by reduction
C07C0001240000	by elimination of water
C07C0001247000	by splitting of cyclic ethers
C07C0001260000	starting from organic compounds containing only halogen atoms as hetero atoms
C07C0001280000	by ring closure
C07C0001300000	by splitting-off the elements of hydrogen halide from a single molecule
C07C0001320000	starting from compounds containing hetero atoms other than, or in addition to, oxygen or halogen
C07C0001340000	reacting phosphines with aldehydes or ketones, e.g. Wittig reaction
C07C0001360000	by splitting of esters (C07C0001213000, C07C0001300000 take precedence)
C07C0002000000	Preparation of hydrocarbons from hydrocarbons containing a smaller number of carbon atoms
C07C0002020000	by addition between unsaturated hydrocarbons
C07C0002040000	by oligomerisation of well-defined unsaturated hydrocarbons without ring formation
C07C0002060000	of alkenes, i.e. acyclic hydrocarbons having only one carbon-to-carbon double bond
C07C0002080000	Catalytic processes
C07C0002100000	with metal oxides
C07C0002120000	with crystalline alumino-silicates, e.g. molecular sieves
C07C0002140000	with inorganic acids; with salts or anhydrides of acids
C07C0002160000	Acids of sulfur; Salts thereof; Sulfur oxides
C07C0002180000	Acids of phosphorus; Salts thereof; Phosphorus oxides
C07C0002200000	Acids of halogen; Salts thereof
C07C0002220000	Metal halides; Complexes thereof with organic compounds
C07C0002240000	with metals
C07C0002260000	with hydrides or organic compounds (C07C0002220000 takes precedence)
C07C0002280000	with ion-exchange resins
C07C0002300000	containing a metal-to-carbon bond; Metal hydrides
C07C0002320000	as complexes, e.g. acetyl-acetonates
C07C0002340000	Metal-hydrocarbon complexes
C07C0002360000	as phosphines, arsines, stilbines or bismuthines
C07C0002380000	of dienes or alkynes
C07C0002400000	of conjugated dienes
C07C0002420000	homo- or co-oligomerisation with ring formation, not being a Diels-Alder conversion
C07C0002440000	of conjugated dienes only
C07C0002460000	Catalytic processes
C07C0002480000	of only hydrocarbons containing a carbon-to-carbon triple bond
C07C0002500000	Diels-Alder conversion
C07C0002520000	Catalytic processes
C07C0002540000	by addition of unsaturated hydrocarbons to saturated hydrocarbons, or to hydrocarbons containing a six-membered aromatic ring with no unsaturation outside the aromatic ring
C07C0002560000	Addition to acyclic hydrocarbons
C07C0002580000	Catalytic processes
C07C0002600000	with halides
C07C0002620000	with acids
C07C0002640000	Addition to a carbon atom of a six-membered aromatic ring
C07C0002660000	Catalytic processes
C07C0002680000	with halides
C07C0002700000	with acids
C07C0002720000	Addition to a non-aromatic carbon atom of hydrocarbons containing a six-membered aromatic ring
C07C0002740000	by addition with simultaneous hydrogenation
C07C0002760000	by condensation of hydrocarbons with partial elimination of hydrogen
C07C0002780000	Processes with partial combustion
C07C0002800000	Processes with the aid of electrical means
C07C0002820000	oxidative coupling
C07C0002840000	catalytic
C07C0002860000	by condensation between a hydrocarbon and a non-hydrocarbon
C07C0002880000	Growth and elimination reactions
C07C0004000000	Preparation of hydrocarbons from hydrocarbons containing a larger number of carbon atoms
C07C0004020000	by cracking a single hydrocarbon or a mixture of individually defined hydrocarbons or a normally gaseous hydrocarbon fraction
C07C0004040000	Thermal processes
C07C0004060000	Catalytic processes
C07C0004080000	by splitting-off an aliphatic or cycloaliphatic part from the molecule
C07C0004100000	from acyclic hydrocarbons
C07C0004120000	from hydrocarbons containing a six-membered aromatic ring, e.g. propyltoluene to vinyltoluene
C07C0004140000	splitting taking place at an aromatic-aliphatic bond
C07C0004160000	Thermal processes
C07C0004180000	Catalytic processes
C07C0004200000	Hydrogen being formed in situ, e.g. from steam
C07C0004220000	by depolymerisation to the original monomer, e.g. dicyclopentadiene to cyclopentadiene
C07C0004240000	by splitting polyarylsubstituted aliphatic compounds at an aliphatic-aliphatic bond, e.g. 1,4-diphenylbutane to styrene
C07C0004260000	by splitting polyaryl compounds at a bond between uncondensed six-membered aromatic rings, e.g. biphenyl to benzene
C07C0005000000	Preparation of hydrocarbons from hydrocarbons containing the same number of carbon atoms
C07C0005020000	by hydrogenation
C07C0005030000	of non-aromatic carbon-to-carbon double bonds
C07C0005050000	Partial hydrogenation
C07C0005080000	of carbon-to-carbon triple bonds
C07C0005090000	to carbon-to-carbon double bonds
C07C0005100000	of aromatic six-membered rings
C07C0005110000	Partial hydrogenation
C07C0005130000	with simultaneous isomerisation
C07C0005220000	by isomerisation (with simultaneous hydrogenation C07C0005130000)
C07C0005230000	Rearrangement of carbon-to-carbon unsaturated bonds
C07C0005250000	Migration of carbon-to-carbon double bonds
C07C0005270000	Rearrangement of carbon atoms in the hydrocarbon skeleton
C07C0005290000	changing the number of carbon atoms in a ring while maintaining the number of rings
C07C0005310000	changing the number of rings
C07C0005320000	by dehydrogenation with formation of free hydrogen
C07C0005327000	Formation of non-aromatic carbon-to-carbon double bonds only
C07C0005333000	Catalytic processes
C07C0005350000	Formation of carbon-to-carbon triple bonds only
C07C0005367000	Formation of an aromatic six-membered ring from an existing six-membered ring, e.g. dehydrogenation of ethylcyclohexane to ethylbenzene
C07C0005373000	with simultaneous isomerisation
C07C0005387000	of cyclic compounds containing no six-membered ring to compounds containing a six-membered aromatic ring
C07C0005393000	with cyclisation to an aromatic six-membered ring, e.g. dehydrogenation of n-hexane to benzene
C07C0005410000	Catalytic processes
C07C0005420000	by dehydrogenation with a hydrogen acceptor
C07C0005440000	with a halogen or a halogen-containing compound as an acceptor
