B	PERFORMING OPERATIONS; TRANSPORTING
B21G0003320000	Feeding material to be worked to nail or pin making machines
B21G0005000000	Making pins or nails with attached caps or with coated heads
B21G0005020000	of drawing-pins or pins of drawing-pin type
B21G0007000000	Making pins of U-like shape or split-pins (of paper fasteners or staples B21D0053460000, B21F0045160000)
B21G0007020000	of U-like shape
B21G0007040000	of hairpins
B21G0007060000	of undulated hairpins
B21G0007080000	of split-pins, e.g. cotter-pins
B21H	MAKING PARTICULAR METAL OBJECTS BY ROLLING, e.g. SCREWS, WHEELS, RINGS, BARRELS, BALLS (essentially from sheet metal B21D)
B21H0001000000	Making articles shaped as bodies of revolution (rolling tubes B21B0017000000-B21B0025000000)
B21H0001020000	discs; disc wheels
B21H0001040000	with rim, e.g. railway wheels
B21H0001060000	rings of restricted axial length (extending closed shapes of metal bands by simultaneous rolling at two or more zones B21B0005000000)
B21H0001080000	railway wheel rims
B21H0001100000	rims for pneumatic tyres
B21H0001120000	rings for ball or roller bearings
B21H0001140000	balls, rollers, cone rollers, or like bodies
B21H0001160000	for bearings
B21H0001180000	cylinders, e.g. rolled transversely
B21H0001200000	rolled longitudinally
B21H0001220000	characterised by use of rolls having circumferentially varying profile
B21H0003000000	Making helical bodies or bodies having parts of helical shape (helical gears B21H0005000000;bending strip or the like helically B21D0011060000;forming tubes or tube walls into helical shape B21D0015040000)
B21H0003020000	external screw-threads
B21H0003040000	Making by means of profiled rolls
B21H0003060000	Making by means of profiled members other than rolls, e.g. jaws, moved longitudinally or curvilinearly with respect to each other
B21H0003080000	internal screw-threads
B21H0003100000	twist-drills; screw-taps
B21H0003120000	articles with helicoidal surface
B21H0005000000	Making gear wheels
B21H0005020000	with cylindrical outline
B21H0005040000	bevel gears
B21H0007000000	Making articles not provided for in groups B21H0001000000-B21H0005000000, e.g. agricultural tools, dinner forks, knives, spoons (nails, pins B21G0003300000)
B21H0007020000	spades; shovels
B21H0007040000	hoes
B21H0007060000	ploughshares; axes
B21H0007080000	forks; rakes
B21H0007100000	knives; sickles; scythes
B21H0007120000	horse-shoes; articles of like shape, e.g. wear-resisting attachments for shoes
B21H0007140000	knurled articles
B21H0007160000	turbine blades; compressor blades; propeller blades
B21H0007180000	grooved pins; Rolling grooves, e.g. oil grooves, in articles
B21H0008000000	Rolling metal of indefinite length in repetitive shapes specially designed for the manufacture of particular objects
B21H0008020000	Rolls of special shape
B21H0009000000	Feeding arrangements for rolling machines or apparatus manufacturing articles dealt with in this subclass
B21H0009020000	for screw-rolling machines
B21J	FORGING; HAMMERING; PRESSING METAL; RIVETING; FORGE FURNACES (rolling of metal B21B;making particular products by forging or pressing B21K;cladding or plating B23K;finishing surfaces by hammering B23P0009040000;compacting surfaces by blasting with particulate material B24C0001100000;general features of presses, presses for consolidating scrap B30B;furnaces in general F27)
B21J0001000000	Preparing metal stock
B21J0001020000	Preliminary treatment of metal stock without particular shaping, e.g. salvaging segregated zones, forging or pressing in the rough (modifying the physical properties by deformation C21D0007000000, C22F0001000000)
B21J0001040000	Shaping in the rough solely by forging or pressing
B21J0001060000	Heating or cooling methods or arrangements specially adapted for performing forging or pressing operations
B21J0003000000	Lubricating during forging or pressing (lubricating in general F16N)
B21J0005000000	Methods for forging, hammering, or pressing (for working sheet metal or metal tubes, rods, or profiles B21D;for working wire B21F); Special equipment or accessories therefor
B21J0005020000	Die forging; Trimming by making use of special dies
B21J0005040000	by directly applied fluid pressure or explosive action
B21J0005060000	for performing particular operations
B21J0005080000	Upsetting
B21J0005100000	Piercing billets (in combination with extrusion B21C0023000000)
B21J0005120000	Forming profiles on internal or external surfaces (making screw-thread by forging, pressing, or hammering B21K)
B21J0007000000	Hammers; Forging machines with hammers or die jaws acting by impact (hand hammers B25D;electrical features section H)
B21J0007020000	Special design or construction
B21J0007040000	Power hammers
B21J0007060000	Drop hammers
B21J0007080000	with rigidly-guided hammer
B21J0007100000	with both drive and hammer connected to a fulcrumed lever, e.g. tail hammers
B21J0007120000	the lever being a spring, i.e. spring hammers
B21J0007140000	Forging machines working with several hammers
B21J0007160000	in rotary arrangements
B21J0007180000	Forging machines working with die jaws, e.g. pivoted, movable laterally of the forging or pressing direction, e.g. for swaging
B21J0007200000	Drives for hammers; Transmission means therefor
B21J0007220000	for power hammers
B21J0007240000	operated by steam, air, or other gaseous pressure
B21J0007260000	operated by internal combustion
B21J0007280000	operated by hydraulic or liquid pressure
B21J0007300000	operated by electro-magnets
B21J0007320000	operated by rotary drive, e.g. electric motor
B21J0007340000	operating both the hammer and the anvil, so-called counter-tup
B21J0007360000	for drop hammers
B21J0007380000	driven by steam, air, or other gaseous pressure
B21J0007400000	driven by hydraulic or liquid pressure
B21J0007420000	operated by rotary drive, e.g. electric motors
B21J0007440000	equipped with belts, ropes, cables, chains
B21J0007460000	Control devices specially adapted to forging hammers, not restricted to one of the preceding subgroups
B21J0009000000	Forging presses
B21J0009020000	Special design or construction
B21J0009040000	Piercing presses
B21J0009060000	Swawing presses; Upsetting presses
B21J0009080000	equipped with devices for heating the workpiece (electric heating elements H05B)
B21J0009100000	Drives for forging presses
B21J0009120000	operated by hydraulic or liquid pressure
B21J0009140000	in conjunction with electric power
B21J0009160000	in conjunction with steam or gas power
B21J0009180000	operated by making use of gearing mechanisms, e.g. levers, spindles, crankshafts, eccentrics, toggle-levers, rack bars
B21J0009200000	Control devices specially adapted to forging presses not restricted to one of the preceding subgroups
B21J0011000000	Forging hammers combined with forging presses; Forging machines with provision for hammering and pressing
B21J0013000000	Details of machines for forging, pressing, or hammering
B21J0013020000	Dies or mountings therefor
B21J0013030000	Die mountings
B21J0013040000	Frames; Guides
B21J0013060000	Hammer tups; Anvils; Anvil blocks
B21J0013080000	Accessories for handling work or tools
B21J0013100000	Manipulators (in general B25J)
B21J0013120000	Turning means
B21J0013140000	Ejecting devices
B21J0015000000	Riveting
B21J0015020000	Riveting procedures
B21J0015040000	Riveting hollow rivets mechanically
B21J0015060000	Riveting hollow rivets by means of hydraulic, liquid, or gas pressure
B21J0015080000	Riveting by applying heat to the end parts of the rivets to enable heads to be formed
B21J0015100000	Riveting machines (electric heating elements H05B)
B21J0015120000	with tools or tool parts having a movement additional to the feed movement, e.g. spin
B21J0015140000	specially adapted for riveting specific articles, e.g. brake lining machines
B21J0015160000	Drives for riveting machines; Transmission means therefor
B21J0015180000	operated by air pressure or other gas pressure, e.g. explosion pressure
B21J0015200000	operated by hydraulic or liquid pressure
B21J0015220000	operated by both hydraulic or liquid pressure and gas pressure
B21J0015240000	operated by electro-magnets
B21J0015260000	operated by rotary drive, e.g. by electric motor
B21J0015280000	Control devices specially adapted to riveting machines not restricted to one of the preceding subgroups
B21J0015300000	Particular elements, e.g. supports; Suspension equipment specially adapted for portable riveters
B21J0015320000	Devices for inserting or holding rivets in position with or without feeding arrangements
B21J0015340000	for installing tubular rivets
B21J0015360000	Rivet sets, i.e. tools for forming heads; Mandrels for expanding parts of hollow rivets
B21J0015380000	Accessories for use in connection with riveting, e.g. pliers for upsetting; Hand tools for riveting
B21J0015400000	for forming rivet heads
B21J0015420000	Special clamping devices for workpieces to be riveted together, e.g. operating through the rivet holes
B21J0015440000	Rivet hole positioners
B21J0015460000	Positioners for rivets for making tube joints
B21J0015480000	Devices for caulking rivets
B21J0015500000	Removing or cutting devices for rivets
B21J0017000000	Forge furnaces (furnaces for heat treatment C21D0009000000;furnaces in general F27)
B21J0017020000	electrically heated (electric heating elements H05B)
B21J0019000000	Blacksmiths' requisites not otherwise provided for
B21J0019020000	Hearths; Air supply arrangements specially adapted therefor
B21J0019040000	Anvils; Associated items
B21K	MAKING FORGED OR PRESSED METAL PRODUCTS, e.g. HORSE-SHOES, RIVETS, BOLTS OR WHEELS (making particular articles by working sheet metal without essentially removing material B21D;processing wire B21F;making pins, needles or nails B21G;making particular articles by rolling B21H;forging machines, pressing machines, hammering machines, in general B21J;making chains B21L;plating B23K)
B21K0001000000	Making particular articles by forging, pressing, or hammering; Equipment therefor
